id;posto;data;preco;preco_combustivel;km_atual
1;Versatile India bandwidth-monitored;2020-04-27;49960;38686;74773
2;Indiana Checking Account;2020-04-27;70802;45864;48265
3;reboot Central;2020-04-26;21809;19168;80059
4;Future;2020-04-27;65648;86822;58724
5;solid state Refined Frozen Computer;2020-04-27;99375;59331;49326
6;transmit copying;2020-04-27;37636;68057;53388
7;deposit North Carolina capacitor;2020-04-27;40599;42293;89649
8;Cambodia;2020-04-27;95454;36973;76331
9;Generic Fresh Hat scalable;2020-04-27;99579;2312;59373
10;Gateway;2020-04-27;41617;12741;45510
