id;fabricante;modelo;km;cap_tanque;ano
1;Islands;bandwidth Sausages Unbranded Plastic Gloves;13433;74598;89870
2;haptic;quantifying;80995;33043;1032
3;pink Awesome;Electronics Producer;65220;90928;22031
4;salmon Gloves Home Loan Account;cultivate;57139;45823;41075
5;South Carolina index;Frozen;17471;83906;5710
6;back-end Internal Central;Books withdrawal;17441;50109;8705
7;Nakfa Enterprise-wide;Wooden;35591;89956;80091
8;e-enable tangible;architectures;97834;37212;53274
9;Licensed;needs-based;37765;13414;25315
10;withdrawal Dynamic Fantastic;Assimilated;15514;91150;5590
